2025-04-30 15:14:30,825 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:14:30,826 - WebSocket closed: None, None
2025-04-30 15:14:35,831 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:14:35,831 - WebSocket closed: None, None
2025-04-30 15:14:40,837 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:14:40,838 - WebSocket closed: None, None
2025-04-30 15:14:45,844 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:14:45,844 - WebSocket closed: None, None
2025-04-30 15:14:50,849 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:14:50,849 - WebSocket closed: None, None
2025-04-30 15:14:55,853 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:14:55,853 - WebSocket closed: None, None
2025-04-30 15:15:00,860 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:15:00,861 - WebSocket closed: None, None
2025-04-30 15:15:05,865 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:15:05,866 - WebSocket closed: None, None
2025-04-30 15:15:10,871 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:15:10,871 - WebSocket closed: None, None
2025-04-30 15:15:15,878 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:15:15,878 - WebSocket closed: None, None
2025-04-30 15:15:20,885 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:15:20,885 - WebSocket closed: None, None
2025-04-30 15:21:25,630 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:21:25,631 - WebSocket closed: None, None
2025-04-30 15:21:30,635 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:21:30,637 - WebSocket closed: None, None
2025-04-30 15:21:35,643 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:21:35,643 - WebSocket closed: None, None
2025-04-30 15:21:40,646 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:21:40,647 - WebSocket closed: None, None
2025-04-30 15:21:45,653 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:21:45,654 - WebSocket closed: None, None
